msno,date,num_25,num_50,num_75,num_985,num_100,num_unq,total_secs
XQ364RJfe0Zh41+GmIZ2mOtAI8lzrZXasNvuT7vhRNs=,20150224,0,0,0,1,3,4,965.2740
XQ364RJfe0Zh41+GmIZ2mOtAI8lzrZXasNvuT7vhRNs=,20150503,0,0,0,1,0,1,224.0480
XQ364RJfe0Zh41+GmIZ2mOtAI8lzrZXasNvuT7vhRNs=,20150709,1,0,0,2,17,20,4666.9900
XQ364RJfe0Zh41+GmIZ2mOtAI8lzrZXasNvuT7vhRNs=,20150910,1,1,1,3,48,51,11808.3700
XQ364RJfe0Zh41+GmIZ2mOtAI8lzrZXasNvuT7vhRNs=,20151121,2,0,0,0,9,11,2456.2310
XQ364RJfe0Zh41+GmIZ2mOtAI8lzrZXasNvuT7vhRNs=,20160124,0,0,0,0,14,14,3573.9000
XQ364RJfe0Zh41+GmIZ2mOtAI8lzrZXasNvuT7vhRNs=,20160417,1,1,0,1,32,35,7690.6130
XQ364RJfe0Zh41+GmIZ2mOtAI8lzrZXasNvuT7vhRNs=,20160618,5,1,2,0,16,18,4805.9710
XQ364RJfe0Zh41+GmIZ2mOtAI8lzrZXasNvuT7vhRNs=,20160813,1,0,0,0,5,5,1198.1730
XQ364RJfe0Zh41+GmIZ2mOtAI8lzrZXasNvuT7vhRNs=,20161104,1,0,0,0,18,18,4512.3720
XQ364RJfe0Zh41+GmIZ2mOtAI8lzrZXasNvuT7vhRNs=,20161231,2,0,0,0,8,9,1957.4390
